Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,100.900002,107.930000,99.709999,106.089996,105.910828,2624500
2018-01-03,106.419998,107.660004,105.300003,107.050003,106.869209,2086800
2018-01-04,107.750000,111.529999,107.480003,111.000000,110.812538,2104500
2018-01-05,111.959999,113.150002,110.300003,112.180000,111.990547,1996700
2018-01-08,112.050003,112.290001,110.639999,111.389999,111.201874,1257100
2018-01-09,111.690002,111.690002,109.809998,110.489998,110.303398,1091400
2018-01-10,110.269997,112.000000,109.790001,110.589996,110.403221,711200
2018-01-11,110.699997,113.419998,108.900002,112.949997,112.759247,1015900
2018-01-12,114.379997,116.050003,113.019997,115.940002,115.744202,1579100
2018-01-16,116.760002,116.839996,112.860001,113.900002,113.707642,1498100
2018-01-17,114.739998,116.239998,112.980003,115.349998,115.155190,1349400
2018-01-18,115.669998,115.860001,113.660004,115.529999,115.334892,920900
2018-01-19,116.239998,117.510002,115.209999,117.019997,116.822372,1169900
2018-01-22,116.879997,118.190002,115.900002,118.029999,117.830666,1612100
2018-01-23,117.739998,119.139999,116.599998,119.099998,118.898857,1277000
2018-01-24,119.260002,121.239998,118.260002,120.989998,120.785660,1198600
2018-01-25,121.120003,121.339996,119.629997,120.919998,120.715790,1250700
2018-01-26,123.339996,123.900002,121.660004,123.639999,123.431190,1488400
2018-01-29,123.519997,123.629997,122.720001,122.889999,122.682449,1403700
2018-01-30,121.570000,122.699997,117.580002,119.269997,119.068565,1889700
2018-01-31,119.860001,120.470001,115.830002,116.989998,116.792419,1235700
2018-02-01,116.239998,118.830002,115.830002,117.290001,117.091911,760600
2018-02-02,115.919998,117.180000,113.129997,113.930000,113.737587,1092300
2018-02-05,113.050003,114.970001,109.809998,109.860001,109.674461,1281600
2018-02-06,108.279999,113.110001,106.750000,112.199997,112.010506,1240100
2018-02-07,112.089996,114.580002,109.900002,109.930000,109.744347,2163500
2018-02-08,109.930000,115.349998,109.300003,109.629997,109.444847,1549900
2018-02-09,110.389999,110.449997,103.339996,109.139999,108.955681,1577900
2018-02-12,109.800003,110.800003,108.050003,109.480003,109.295113,1181400
2018-02-13,109.169998,109.989998,105.959999,106.220001,106.040611,1392100
2018-02-14,105.500000,110.000000,105.260002,109.019997,108.835876,1106700
2018-02-15,109.230003,110.279999,107.570000,108.779999,108.596275,818400
2018-02-16,108.720001,109.339996,105.779999,107.570000,107.388329,946700
2018-02-20,107.400002,108.379997,103.720001,105.349998,105.172073,2369200
2018-02-21,116.959999,119.300003,113.230003,114.000000,113.807465,5545200
2018-02-22,115.099998,115.500000,110.199997,110.489998,110.303398,1465800
2018-02-23,111.150002,117.070000,111.080002,116.320000,116.123550,1504200
2018-02-26,116.500000,117.739998,112.080002,114.849998,114.656036,1409600
2018-02-27,113.260002,113.910004,108.900002,109.800003,109.614571,2161000
2018-02-28,110.709999,116.110001,109.680000,114.250000,114.057045,1901700
2018-03-01,114.239998,117.889999,113.430000,117.510002,117.311546,2062100
2018-03-02,116.669998,116.790001,113.120003,116.070000,115.873970,1462100
2018-03-05,115.449997,117.550003,115.120003,116.360001,116.163490,1088500
2018-03-06,116.540001,119.040001,115.129997,118.589996,118.389725,1003700
2018-03-07,117.430000,118.309998,115.800003,116.769997,116.572792,708600
2018-03-08,117.330002,117.330002,114.540001,115.750000,115.554512,672200
2018-03-09,116.440002,118.940002,114.400002,118.860001,118.659264,1088300
2018-03-12,118.559998,119.250000,117.209999,118.410004,118.210030,802800
2018-03-13,118.750000,120.099998,117.260002,119.000000,118.799034,942500
2018-03-14,119.160004,119.879997,116.550003,117.059998,116.862305,681800
2018-03-15,117.540001,118.330002,115.470001,117.099998,116.902237,672600
2018-03-16,116.930000,117.809998,115.760002,116.629997,116.433029,1354400
2018-03-19,116.790001,117.559998,114.699997,115.870003,115.674324,813000
2018-03-20,116.389999,116.690002,113.739998,114.250000,114.057045,636000
2018-03-21,114.660004,116.290001,114.239998,115.239998,115.045372,689600
2018-03-22,114.019997,115.139999,111.629997,111.709999,111.579437,1042400
2018-03-23,112.410004,113.260002,110.339996,110.839996,110.710449,1085900
2018-03-26,112.489998,115.070000,111.879997,114.769997,114.635857,1008800
2018-03-27,114.580002,117.449997,113.290001,115.010002,114.875580,1402700
2018-03-28,115.279999,119.419998,114.080002,115.980003,115.844444,1047500
2018-03-29,116.339996,119.220001,115.400002,118.550003,118.411446,780800
2018-04-02,118.610001,119.180000,110.510002,111.930000,111.799171,1581300
2018-04-03,112.500000,113.879997,108.949997,111.910004,111.779198,1504200
2018-04-04,110.089996,114.980003,109.820000,114.480003,114.346199,851900
2018-04-05,115.459999,116.830002,113.519997,116.389999,116.253960,873500
2018-04-06,115.629997,116.370003,110.769997,111.910004,111.779198,1291200
2018-04-09,112.940002,114.889999,110.190002,110.349998,110.221024,829500
2018-04-10,111.139999,112.680000,109.529999,112.139999,112.008926,926800
2018-04-11,111.160004,112.320000,110.150002,110.930000,110.800346,577600
2018-04-12,111.459999,112.589996,110.360001,110.570000,110.440758,850700
2018-04-13,111.139999,112.400002,105.389999,106.610001,106.485397,1530400
2018-04-16,106.930000,108.029999,105.019997,106.449997,106.325577,971500
2018-04-17,108.750000,109.930000,106.779999,108.199997,108.073532,1254300
2018-04-18,108.849998,109.720001,106.550003,107.389999,107.264481,1303600
2018-04-19,107.550003,108.209999,103.489998,105.180000,105.057068,1516400
2018-04-20,105.279999,106.449997,102.900002,103.760002,103.638725,1064500
2018-04-23,103.260002,105.599998,102.150002,105.519997,105.396660,1029500
2018-04-24,105.760002,107.830002,105.199997,106.930000,106.805023,1162900
2018-04-25,106.820000,109.309998,106.440002,107.820000,107.693977,1031300
2018-04-26,112.019997,115.120003,110.080002,113.180000,113.047714,1672500
2018-04-27,113.150002,116.610001,112.650002,116.339996,116.204018,1158600
2018-04-30,116.459999,116.680000,113.860001,114.449997,114.316231,1057400
2018-05-01,113.860001,115.699997,113.089996,115.580002,115.444908,806900
2018-05-02,115.510002,117.089996,113.800003,115.900002,115.764534,1113000
2018-05-03,115.580002,116.610001,114.540001,115.430000,115.295082,711400
2018-05-04,115.000000,117.730003,113.839996,116.669998,116.533630,860800
2018-05-07,116.989998,117.500000,115.089996,116.139999,116.004250,672500
2018-05-08,118.809998,118.970001,116.309998,116.800003,116.663490,1084900
2018-05-09,116.870003,118.139999,111.860001,117.989998,117.852089,1476400
2018-05-10,118.250000,118.589996,116.779999,118.230003,118.091812,594200
2018-05-11,118.309998,122.300003,117.589996,119.940002,119.799820,1354700
2018-05-14,119.879997,121.900002,119.260002,121.610001,121.467865,939200
2018-05-15,121.290001,121.440002,118.779999,119.919998,119.779839,878100
2018-05-16,120.639999,121.500000,118.660004,119.029999,118.890877,855200
2018-05-17,119.139999,120.580002,118.080002,119.790001,119.649986,1054900
2018-05-18,119.370003,119.860001,118.209999,118.320000,118.181702,1087000
2018-05-21,118.400002,119.639999,116.379997,119.150002,119.010742,1482900
2018-05-22,123.550003,125.889999,113.610001,115.330002,115.195206,3940200
2018-05-23,115.820000,123.629997,115.629997,123.250000,123.105942,1944900
2018-05-24,123.320000,126.000000,120.959999,125.169998,125.023705,1270200
2018-05-25,124.690002,126.239998,124.410004,124.910004,124.764015,1173100
2018-05-29,124.360001,124.989998,123.059998,123.959999,123.815109,1163300
2018-05-30,124.000000,128.660004,123.519997,128.529999,128.379761,1223900
2018-05-31,128.339996,129.410004,126.000000,128.619995,128.469650,1535200
2018-06-01,128.839996,129.669998,127.260002,128.339996,128.189987,993000
2018-06-04,129.000000,131.979996,128.990005,129.910004,129.758163,1008600
2018-06-05,129.770004,130.860001,129.240005,129.949997,129.798111,881200
2018-06-06,130.110001,131.490005,129.470001,130.589996,130.437363,1173200
2018-06-07,131.000000,131.979996,129.660004,130.050003,129.897995,1506100
2018-06-08,129.910004,132.669998,128.509995,131.710007,131.556061,863800
2018-06-11,132.240005,133.179993,131.339996,132.729996,132.574844,875600
2018-06-12,133.649994,134.750000,132.830002,133.639999,133.483810,887700
2018-06-13,133.369995,133.580002,131.490005,132.679993,132.524918,771100
2018-06-14,133.270004,133.990005,132.570007,133.500000,133.343964,816200
2018-06-15,133.490005,137.330002,133.020004,137.160004,136.999695,1652900
2018-06-18,136.139999,138.380005,135.830002,138.240005,138.078430,1226100
2018-06-19,136.899994,139.169998,136.399994,138.300003,138.138351,986100
2018-06-20,139.199997,140.220001,137.470001,139.160004,138.997360,849600
2018-06-21,139.100006,140.100006,137.789993,139.500000,139.397064,783800
2018-06-22,143.419998,143.419998,137.809998,138.850006,138.747543,1377800
2018-06-25,137.940002,137.990005,135.210007,137.270004,137.168716,915900
2018-06-26,137.520004,139.169998,136.460007,137.070007,136.968857,745600
2018-06-27,137.119995,137.690002,134.009995,134.380005,134.280853,1124400
2018-06-28,134.199997,136.179993,133.320007,135.110001,135.010300,1039800
2018-06-29,135.809998,137.869995,135.270004,135.699997,135.599854,725300
2018-07-02,135.000000,135.160004,133.419998,134.699997,134.600586,662500
2018-07-03,136.149994,136.639999,134.399994,135.009995,134.910370,339600
2018-07-05,135.440002,135.899994,134.000000,135.860001,135.759735,957000
2018-07-06,137.220001,138.000000,136.020004,137.169998,137.068771,889500
2018-07-09,137.589996,141.580002,137.470001,140.949997,140.845978,950800
2018-07-10,140.940002,141.910004,139.399994,140.649994,140.546204,963300
2018-07-11,139.820007,139.820007,136.369995,139.080002,138.977371,710200
2018-07-12,140.369995,140.889999,138.190002,138.789993,138.687561,441200
2018-07-13,139.300003,141.699997,138.919998,139.339996,139.237183,835000
2018-07-16,139.669998,140.539993,139.020004,139.669998,139.566925,505100
2018-07-17,139.149994,141.289993,139.149994,140.279999,140.176483,809100
2018-07-18,140.190002,140.839996,139.089996,139.970001,139.866714,685800
2018-07-19,139.850006,143.699997,139.440002,143.369995,143.264191,1123700
2018-07-20,142.850006,143.440002,141.729996,142.669998,142.564713,585700
2018-07-23,142.139999,145.199997,142.139999,144.660004,144.553253,686100
2018-07-24,145.100006,145.149994,139.440002,139.990005,139.886703,800400
2018-07-25,139.399994,140.649994,138.669998,140.470001,140.366333,794700
2018-07-26,141.000000,143.809998,140.320007,141.779999,141.675369,775700
2018-07-27,142.410004,143.130005,139.429993,139.850006,139.746811,370300
2018-07-30,139.850006,141.399994,139.589996,140.679993,140.576187,428100
2018-07-31,140.869995,141.979996,139.800003,141.229996,141.125778,463100
2018-08-01,140.520004,141.440002,139.660004,139.750000,139.646866,540200
2018-08-02,139.399994,143.690002,139.399994,143.259995,143.154282,654000
2018-08-03,144.250000,145.660004,143.029999,144.679993,144.573227,535000
2018-08-06,145.520004,145.830002,143.490005,145.100006,144.992935,679500
2018-08-07,145.389999,146.309998,144.330002,145.160004,145.052887,940300
2018-08-08,145.320007,146.759995,145.100006,146.410004,146.301971,530900
2018-08-09,146.919998,148.699997,146.460007,147.789993,147.680939,763400
2018-08-10,146.839996,147.910004,145.119995,146.350006,146.242004,1006400
2018-08-13,147.000000,147.839996,144.500000,144.839996,144.733109,1407000
2018-08-14,153.339996,159.500000,152.320007,156.130005,156.014786,4487600
2018-08-15,157.979996,158.740005,155.630005,158.029999,157.913376,1503100
2018-08-16,158.500000,160.630005,158.500000,159.490005,159.372299,1415900
2018-08-17,159.649994,160.160004,159.009995,159.720001,159.602127,965900
2018-08-20,160.440002,161.250000,160.000000,160.839996,160.721298,999200
2018-08-21,161.220001,161.710007,159.350006,160.149994,160.031815,1193800
2018-08-22,160.539993,161.970001,160.300003,160.729996,160.611389,804200
2018-08-23,161.259995,163.360001,160.949997,163.259995,163.139511,891300
2018-08-24,163.149994,165.070007,162.570007,164.360001,164.238724,729300
2018-08-27,164.869995,164.990005,161.839996,161.979996,161.860474,1064200
2018-08-28,162.210007,162.910004,160.000000,162.100006,161.980392,1096700
